year,pollutant,station_id,station_name,month,valid_days,who_exceedance_days,conama_exceedance_days,max_hourly_value,max_hourly_at,coverage_percent,data_quality_tier,validation_note
2023,PM2.5,70,VR - Retiro,2023-08,31,3,0,37.87,2023-08-12T09:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-09,30,6,0,41.52,2023-09-24T18:00:00,99.72,HIGH,Cobertura técnica de 99.7% com 30 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-10,31,1,0,37.03,2023-10-27T15:00:00,99.19,HIGH,Cobertura técnica de 99.2% com 31 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-11,30,3,0,131.02,2023-11-09T21:00:00,97.92,HIGH,Cobertura técnica de 97.9% com 30 dias válidos analiticamente.
2023,PM2.5,70,VR - Retiro,2023-12,31,0,0,41.19,2023-12-14T19:00:00,99.87,HIGH,Cobertura técnica de 99.9% com 31 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-01,31,0,0,298.84,2023-01-28T16:00:00,94.62,HIGH,Cobertura técnica de 94.6% com 31 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-02,28,0,0,122.06,2023-02-22T10:00:00,98.51,HIGH,Cobertura técnica de 98.5% com 28 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-03,31,0,0,123.49,2023-03-31T10:00:00,97.85,HIGH,Cobertura técnica de 97.8% com 31 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-04,30,0,0,179.09,2023-04-13T16:00:00,99.03,HIGH,Cobertura técnica de 99.0% com 30 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-05,30,1,0,215.54,2023-05-20T10:00:00,97.72,HIGH,Cobertura técnica de 97.7% com 30 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-06,30,4,2,383.84,2023-06-10T11:00:00,99.17,HIGH,Cobertura técnica de 99.2% com 30 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-07,31,4,2,313.52,2023-07-13T12:00:00,99.33,HIGH,Cobertura técnica de 99.3% com 31 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-08,31,2,2,176.14,2023-08-23T09:00:00,99.46,HIGH,Cobertura técnica de 99.5% com 31 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-09,30,1,0,131.07,2023-09-24T05:00:00,99.17,HIGH,Cobertura técnica de 99.2% com 30 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-10,30,0,0,99.71,2023-10-24T10:00:00,98.12,HIGH,Cobertura técnica de 98.1% com 30 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-11,30,0,0,313.60,2023-11-17T21:00:00,98.61,HIGH,Cobertura técnica de 98.6% com 30 dias válidos analiticamente.
2023,PM10,71,VR - Santa Cecília,2023-12,31,0,0,96.82,2023-12-26T09:00:00,99.06,HIGH,Cobertura técnica de 99.1% com 31 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-01,28,0,0,76.55,2023-01-28T23:00:00,89.25,HIGH,Cobertura técnica de 89.2% com 28 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-02,28,0,0,87.87,2023-02-16T23:00:00,99.26,HIGH,Cobertura técnica de 99.3% com 28 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-03,31,0,0,49.17,2023-03-12T16:00:00,98.79,HIGH,Cobertura técnica de 98.8% com 31 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-04,30,0,0,38.62,2023-04-13T11:00:00,99.17,HIGH,Cobertura técnica de 99.2% com 30 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-05,31,2,0,97.03,2023-05-20T10:00:00,99.19,HIGH,Cobertura técnica de 99.2% com 31 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-06,30,7,0,90.29,2023-06-10T11:00:00,99.17,HIGH,Cobertura técnica de 99.2% com 30 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-07,31,5,0,77.79,2023-07-04T10:00:00,99.60,HIGH,Cobertura técnica de 99.6% com 31 dias válidos analiticamente.
2023,PM2.5,71,VR - Santa Cecília,2023-08,31,5,0,77.40,2023-08-22T09:00:00,99.73,HIGH,Cobertura técnica de 99.7% com 31 dias válidos analiticamente.
